date,ts_code,name,score,status,close,called_llm
20260727,002372.SZ,伟星新材,42,【回避】,8.17,False
20260727,600009.SH,上海机场,0,【回避】,23.73,False
20260727,600010.SH,包钢股份,78,【候选】可跟踪,2.19,True
20260727,600157.SH,永泰能源,28,【回避】,1.58,False
20260727,600370.SH,*ST三房,0,【回避】,1.62,False
20260727,600905.SH,三峡能源,0,【回避】,3.85,False
20260727,603010.SH,万盛股份,28,【回避】,10.2,False
20260728,002372.SZ,伟星新材,65,【候选】可跟踪,8.35,False
20260728,600009.SH,上海机场,43,【回避】,24.04,False
20260728,600010.SH,包钢股份,0,【回避】,2.17,False
20260728,600157.SH,永泰能源,0,【回避】,1.56,False
20260728,600370.SH,*ST三房,0,【回避】,1.65,False
20260728,600905.SH,三峡能源,0,【回避】,3.83,False
20260728,603010.SH,万盛股份,0,【回避】,9.96,False
20260729,002372.SZ,伟星新材,100,【强候选】尾盘隔夜,8.72,True
20260729,600009.SH,上海机场,84,【强候选】尾盘隔夜,24.37,True
20260729,600010.SH,包钢股份,70,【候选】可跟踪,2.2,True
20260729,600157.SH,永泰能源,96,【强候选】尾盘隔夜,1.6,True
20260729,600370.SH,*ST三房,0,【回避】,1.64,False
20260729,600905.SH,三峡能源,15,【回避】,3.86,False
20260729,603010.SH,万盛股份,31,【回避】,9.97,False
20260730,002372.SZ,伟星新材,69,【候选】可跟踪,8.84,False
20260730,600009.SH,上海机场,75,【候选】可跟踪,24.94,True
20260730,600010.SH,包钢股份,0,【回避】,2.2,False
20260730,600157.SH,永泰能源,0,【回避】,1.58,False
20260730,600370.SH,*ST三房,0,【回避】,1.58,False
20260730,600905.SH,三峡能源,30,【回避】,3.9,False
20260730,603010.SH,万盛股份,0,【回避】,9.63,False
20260731,002372.SZ,伟星新材,48,【回避】,8.76,False
20260731,600009.SH,上海机场,52,【观察】等待更优确认,24.68,False
20260731,600010.SH,包钢股份,76,【候选】可跟踪,2.23,True
20260731,600157.SH,永泰能源,0,【回避】,1.58,False
20260731,600370.SH,*ST三房,0,【回避】,1.58,False
20260731,600905.SH,三峡能源,36,【回避】,3.9,False
20260731,603010.SH,万盛股份,7,【回避】,9.88,False
20260803,002372.SZ,伟星新材,100,【强候选】尾盘隔夜,9.11,True
20260803,600009.SH,上海机场,31,【回避】,24.56,False
20260803,600010.SH,包钢股份,100,【强候选】尾盘隔夜,2.25,True
20260803,600157.SH,永泰能源,52,【观察】等待更优确认,1.6,False
20260803,600370.SH,*ST三房,0,【回避】,1.53,False
20260803,600905.SH,三峡能源,63,【观察】等待更优确认,3.94,False
20260803,603010.SH,万盛股份,18,【回避】,10.09,False
20260804,002372.SZ,伟星新材,0,【回避】,8.84,False
20260804,600009.SH,上海机场,0,【回避】,24.27,False
20260804,600010.SH,包钢股份,0,【回避】,2.23,False
20260804,600157.SH,永泰能源,53,【观察】等待更优确认,1.6,False
20260804,600370.SH,*ST三房,0,【回避】,1.5,False
20260804,600905.SH,三峡能源,0,【回避】,3.88,False
20260804,603010.SH,万盛股份,40,【回避】,10.23,False
20260805,002372.SZ,伟星新材,0,【回避】,8.65,False
20260805,600009.SH,上海机场,0,【回避】,24.08,False
20260805,600010.SH,包钢股份,100,【强候选】尾盘隔夜,2.27,True
20260805,600157.SH,永泰能源,6,【回避】,1.59,False
20260805,600370.SH,*ST三房,46,【回避】,1.59,False
20260805,600905.SH,三峡能源,0,【回避】,3.82,False
20260805,603010.SH,万盛股份,78,【候选】可跟踪,10.61,True
20260806,002372.SZ,伟星新材,0,【回避】,8.61,False
20260806,600009.SH,上海机场,0,【回避】,23.93,False
20260806,600010.SH,包钢股份,0,【回避】,2.25,False
20260806,600157.SH,永泰能源,100,【强候选】尾盘隔夜,1.61,True
20260806,600370.SH,*ST三房,0,【回避】,1.53,False
20260806,600905.SH,三峡能源,0,【回避】,3.8,False
20260806,603010.SH,万盛股份,70,【候选】可跟踪,10.79,True
